deal,mark,path
1,81,6c6d606e6b3656161f18101beb1e18e14e4048c83c32314b5b31393a4af17f737b5b707a79191a0a5aca272cdb2a272d29190928180879090a7828c9395158d80c0d0b6b18fb010a6a091a6bc9daeb4968
2,82,481c105d506e646f6970606b1019e43e74d43d3639e95e59093579d9493d3a1a23292a3a7a7b2b5beb2e232878d858121808e8584d49424e414b6b0b05cb0b0608f828070938e90a0a7a5ada6a4a1a4b0b2b
3,84,594c4d7e7b78c4d45424202c2429295413101d1f19595af96212187f707a313739323aca4a6a6b3b3858616568f84c4849085829281845060249094101494b0f04090bcb0a4bdb4a5a6b1b2a1a2bea1b28387afb
4,80,3c3d3b563e505f5a5b0b3beb3e39c3f313181b010c0bdb2b2b632d6bcb2c2f2aca040c1a040a606a68f07f7aca754a753a7379474a4c4b4a1419ca091828495908485868e8384959d9187939f9386839
5,80,287c707d7e474b343f3967c06c696b69e91e195919492924f414242b1b18183868212852565b5858683805060356050f02070a1acada4a4b2a4a2b4b6b7b3b303a4a6aeb7a4a4a49f97971597808180b
6,85,4c4d4e404f4af4d4643d343fe35e535a7464fa676f636b101614171b195958787939f93f213929252b2a5bfa36387858090f757b78782807090b4b791937380309070a39586a284a6bfa184beb4ada4b7b4a78ca4b
7,86,1c1d1e101a1b18da65616d6b4f461426f62f26212b7170e62e29727bdb0d020b01315b50353b343a38e85e567a2a5a4a545158786848080b181b656a6768386b686909d9e92959494a79c909fa1a19184b0b094c4aca
8,76,38631c6d1e19c9636956565c59585b1b242509e5391e1a2f292a35707a31303a6a4a5afa595a7f7b3b09750a7909fb0f0908e8386b4b4e47206168f918c81bdb18384beb284a084b580b0a7a
9,90,6c6d4e6f696bc92cd646262436262b37c35716171b5c575a2a1a6a3d303b4a6bfb47e24e6a4f48f41f1818565831353868737818717458757274527a7579f978c808070939690b1b49596a294a6b4b6adb2a0a0929e90a280b7b
10,87,303c3d3151515e5f5b3b3a51757b7818eb0e45057bf7454b4f6424f46f6bdb6deb6e68f838c3232023297919161c1f1b1519c9391c1a187a6adae878fa3a5a01260609395949030a5a4a5b6b0b5a0949394a48c8182868
11,90,35151c1d171e1b1f31d132373d38d36d62676b5b53c32b5b502c2b626a5b565aea6aca7a46241a2c2b140b0e0a01cb0c080aea2e0af82fca7c1a202971757672727939e93878392938c928495918485868f80849d94b694b494b
12,79,38676c6d6e6b0b2024c02c2f2b3b3810673b12e61e1b19565b51593919f93f3afa5ada7d7b767f7a7929c9437c78474349f9434f4aea0a6a0b0a6b09081818d8285838293b6838c8010b7b0a1afa09
13,78,1b5c5d5e515f5ad51d15d5121d1b1a5b2a2b5a5bcbeb7c454b7b3b1e6b4b4148047534357531c1313839e8f8787969636a24583a2a2829d909595a0b0308680a18283a6809285949194a1a49194a
14,76,3c3d5e305fc03c30323a52535b5975787b7a0acb1c0b3b131b2bcb2c2bdb7a5b450a1a1519656a696d69292a4a0939490309050b0aea203a2e2328183878f8e8c808586809594958d84a5b49
15,101,0c0d320209523e394f4942d4f46d6f62f2626f68f81f76141016195909f97f795070d070785d575b1b183135382838232858256be535230e0b271537212321256526f62f2afaea5a0a5b0b5a0a5b5a4a7a280e0b5b4b7beb4a404b4969196878d8091a39ca
16,76,4a1c18626b6d61646836345e34545f5159393a3976797a1a2a131a194956151b242b26292b3b4b4a2428d87276783848496869fb484d434b68eb58db0b0a4b0b050a280a18ca096939496a5a
17,102,2c242d2e707421285453c4545a1c5158756525e57e727a1f17f71f13141a1b2b7b7a62646b0768061803f6060f0171070929c9f94939d930393231393c384850583d385258e86943684e4fd84d49694545494aca4c4b680b3b0a2beafb1b2a5bda1a5a7a1bcb
18,83,70737b7c7a072d572e272a2f2bdb3d323638424a483bd40d0b0ad01d141b3a1aeb1e181b5b31396a65624bd26d6368691939c8e8f901030b09d9595c565d5879d8c868484b450b4a2a7a29792a781a29395a28
19,83,4c4020424d405e40545f545059794929e56ef96925293fd93d39d9c925192c2a1d151a141b6b5a4b4a5b5a3ada7a747b5b3538386818716368587808020d0405060b380ada0a5a0a0b2beb09284bfb18486bc8
20,83,3c3d404a3e3a63606a6b67601f161a2a2bc25c5ae25e5b5956252a2620d02d2925d5323d38181b181959085809087138d87d030a7a797b5b39692b680969d90902010d73494a4a0a4a0b1bfb1878cb2b38dbe8
21,81,4a7c50757d7e7f7a37171a371318381a17d72a2d2ada2d2beb3bdb5d5a586b18315e6134395929f1616f69e96838280204030e09d979020b1b187819c9184cf84841094958194b2b4a7bcb2a7a4a7beb3a
22,80,2c2d2e23536525292f1218f8726fe26e68696b58d8767bf60d0f091619e13079395e5659e65e32345b5835363a3878e8587a1a386a0a1b6b0b186a2a6b296a2a4a690a2949c90a4b0a484b1b4bdbfb49
23,72,287a2c232d2e2bdb297d127279e9121e121a5a7a6a636f6bd9fb5d5f5b2b3beb3e103b38583a1868582a68e8783e393808e80e380b4149f94a29d92a4b4a1b09c9e9010a4b090a1a
24,79,092c2a282b292a1216101d1ad13d31303a313e38e37343737a7b424e4b1b0f6b6a0602030b530ac05c5b586acb5c2b626861691959187819f9183918293ac82a3978d93a4a68394b2b0b2838eb0a09
25,78,404c32343234383d3a531373101a1b532a5e585beb2b181e18212b7f7b717a2029792919491a4a61676a69685849790aca4c454b3b0b0a045b051b01270928d83868f8394959e8093a78ca0b1b0a
